NumEdges,numVertices,LTFACyclic,LTFCyclic,twoChainACyclic,twoChainCyclic
40,100,32,0,32,0
40,100,31,0,30,0
40,100,29,0,29,0
40,100,0,31,0,30
40,100,30,0,29,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,28,0,28,0
40,100,32,0,32,0
40,100,30,0,29,0
40,100,31,0,31,0
40,100,33,0,32,0
40,100,32,0,32,0
40,100,30,0,30,0
40,100,31,0,31,0
40,100,29,0,29,0
40,100,30,0,30,0
40,100,31,0,30,0
40,100,30,0,29,0
40,100,31,0,31,0
40,100,31,0,31,0
40,100,30,0,30,0
40,100,31,0,31,0
40,100,31,0,31,0
40,100,31,0,30,0
40,100,29,0,29,0
40,100,31,0,31,0
40,100,32,0,31,0
40,100,31,0,31,0
40,100,32,0,31,0
40,100,31,0,31,0
40,100,34,0,33,0
40,100,0,31,0,30
40,100,29,0,29,0
40,100,30,0,30,0
40,100,33,0,33,0
40,100,0,32,0,31
40,100,31,0,29,0
40,100,32,0,31,0
40,100,32,0,31,0
40,100,31,0,30,0
40,100,29,0,29,0
40,100,31,0,31,0
40,100,31,0,30,0
40,100,30,0,29,0
40,100,32,0,31,0
40,100,31,0,29,0
40,100,30,0,29,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,31,0,30,0
40,100,32,0,32,0
40,100,31,0,30,0
40,100,31,0,31,0
40,100,0,29,0,29
40,100,29,0,29,0
40,100,30,0,29,0
40,100,31,0,31,0
40,100,32,0,31,0
40,100,0,31,0,30
40,100,31,0,30,0
40,100,0,31,0,31
40,100,29,0,29,0
40,100,0,31,0,31
40,100,31,0,30,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,30,0,30,0
40,100,30,0,30,0
40,100,32,0,31,0
40,100,32,0,31,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,33,0,32,0
40,100,32,0,31,0
40,100,31,0,31,0
40,100,0,32,0,31
40,100,32,0,31,0
40,100,30,0,29,0
40,100,31,0,31,0
40,100,31,0,31,0
40,100,34,0,33,0
40,100,31,0,31,0
40,100,32,0,31,0
40,100,31,0,31,0
40,100,30,0,29,0
40,100,30,0,29,0
40,100,31,0,31,0
40,100,29,0,29,0
40,100,29,0,28,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,32,0,31,0
40,100,30,0,30,0
40,100,30,0,29,0
40,100,30,0,29,0
40,100,29,0,29,0
40,100,29,0,29,0
40,100,30,0,29,0
40,100,31,0,30,0
40,100,31,0,30,0
40,100,30,0,29,0
40,100,31,0,30,0
40,100,0,31,0,30
40,100,34,0,32,0
40,100,29,0,29,0
40,100,29,0,29,0
40,100,31,0,30,0
40,100,32,0,31,0
40,100,0,0,0,0
40,100,0,30,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,31,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,31,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,32,0,31
40,100,0,31,0,31
40,100,0,32,0,31
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,30,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,30,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,31,0,31
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,33,0,32
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,30,0,30
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
40,100,0,0,0,0
